ORF	ProteinID	LocusTag
cds2264	WP_016735349.1	RPHASCH2410_PD05335
cds2265	WP_029531713.1	RPHASCH2410_PD05340
cds2266	WP_016735351.1	RPHASCH2410_PD05345
cds2267	WP_016735352.1	RPHASCH2410_PD05350
cds2278	WP_080956221.1	RPHASCH2410_PD05400
cds2365	WP_016734081.1	RPHASCH2410_CH00410
cds2366	WP_016734080.1	RPHASCH2410_CH00415
cds2373	WP_016734077.1	RPHASCH2410_CH00460
cds2390	WP_009998001.1	RPHASCH2410_CH00545
cds2391	WP_008521951.1	RPHASCH2410_CH00550
cds2423	WP_008521906.1	RPHASCH2410_CH00735
cds2427	WP_004680054.1	RPHASCH2410_CH00755
cds2431	WP_016734044.1	RPHASCH2410_CH00775
cds2441	WP_016734037.1	RPHASCH2410_CH00825
cds2442	WP_029531512.1	RPHASCH2410_CH00830
cds2455	WP_003587245.1	RPHASCH2410_CH00895
cds2463	WP_016734020.1	RPHASCH2410_CH00935
cds2468	WP_016734016.1	RPHASCH2410_CH00960
cds2480	WP_003573826.1	RPHASCH2410_CH01035
cds2481	WP_004669067.1	RPHASCH2410_CH01040
cds2482	WP_004669070.1	RPHASCH2410_CH01045
cds2483	WP_004669072.1	RPHASCH2410_CH01050
cds2484	WP_037113092.1	RPHASCH2410_CH01055
cds2489	WP_003547537.1	RPHASCH2410_CH01080
cds2490	WP_004669085.1	RPHASCH2410_CH01085
cds2491	WP_038688280.1	RPHASCH2410_CH01090
cds2493	WP_003547547.1	RPHASCH2410_CH01100
cds2494	WP_016734008.1	RPHASCH2410_CH01105
cds2495	WP_004674918.1	RPHASCH2410_CH01110
cds2496	WP_003547550.1	RPHASCH2410_CH01115
cds2497	WP_009986456.1	RPHASCH2410_CH01120
cds2498	WP_003573797.1	RPHASCH2410_CH01125
cds2499	WP_004674922.1	RPHASCH2410_CH01130
cds2504	WP_003573790.1	RPHASCH2410_CH01155
cds2505	WP_004674929.1	RPHASCH2410_CH01160
