Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds568	0.127025214740456	6.80363084504588	6.25408097517376	0.029290884565009	0.0397375066788071	0.0397375066788071	RPHASCH2410_PB01075	WP_039752211.1
cds1046	0.171017158800052	8.68841352575445	6.24741956615436	0.0293605588735289	0.0398175985013111	0.0398175985013111		WP_032983735.1
cds661	-0.238190431313389	4.92118224072775	6.23701080516407	0.0294698274708749	0.0399513090269774	0.0399513090269774	RPHASCH2410_PB01525	WP_016736588.1
cds1677	0.232501901740113	6.63176922273114	6.38436661845423	0.0295650757292485	0.0400659226844957	0.0400659226844957	RPHASCH2410_PD02430	WP_016735791.1
cds2310	-0.223288530855327	4.94705820208213	6.14356598234461	0.0304730071473764	0.0412813846372167	0.0412813846372167	RPHASCH2410_CH00125	WP_016734141.1
cds2333	-0.302726067726711	3.23327872189605	6.11235665151323	0.030817169343621	0.0417325126096865	0.0417325126096865	RPHASCH2410_CH00250	WP_016734113.1
cds766	0.205872522213289	4.50977436438911	6.06609899488389	0.0313359191123889	0.0424196546971688	0.0424196546971688	RPHASCH2410_PC00110	WP_004678566.1
cds298	0.215825790976642	3.93487587983761	6.0619643324555	0.0313827961743004	0.0424677534636321	0.0424677534636321	RPHASCH2410_PA01485	WP_016737004.1
cds1502	-0.214045571025048	4.77664813415957	6.04987845220433	0.0315203053136055	0.0426384180660735	0.0426384180660735	RPHASCH2410_PD01570	WP_016735633.1
cds882	-0.481605125631154	1.57909206279489	6.04398760483374	0.0315875921456559	0.042714001951297	0.042714001951297		gbkey=CDS
cds922	0.16291505367457	5.98296046098272	6.02608053391994	0.0317931952574671	0.0429765004870709	0.0429765004870709	RPHASCH2410_PC00890	WP_080956182.1
cds1709	-0.642592829862005	6.18198432400867	8.19938578233659	0.0322923391101113	0.0436354603931938	0.0436354603931938	RPHASCH2410_PD02590	WP_016735820.1
cds573	0.123157342789188	8.87763786602463	5.96407141390787	0.0325177178258012	0.0439241493403009	0.0439241493403009	RPHASCH2410_PB01100	WP_016736516.1
cds312	0.250318957257736	6.90681076220221	6.21084628322205	0.0329244212829317	0.044457470729442	0.044457470729442	RPHASCH2410_PA01555	WP_016736990.1
cds4450	0.209693397928323	5.86118784965667	5.92493903122201	0.0329851803939469	0.0445234512133225	0.0445234512133225	RPHASCH2410_CH19575	WP_016733437.1
cds2356	-0.464857251432781	1.22141793505185	5.90757912380473	0.0331951444757908	0.0447907086419916	0.0447907086419916	RPHASCH2410_CH00365	WP_016734089.1
cds4423	-0.464629023666387	1.88653112292393	5.88492268428602	0.0334715947523645	0.045147451948865	0.045147451948865	RPHASCH2410_CH19435	WP_016733415.1
cds316	0.169833437743895	5.53182365581948	5.88206721241967	0.0335066331419969	0.0451706085664918	0.0451706085664918	RPHASCH2410_PA01575	WP_016736986.1
cds1277	-0.260965561495508	3.40882723991545	5.8808061122657	0.0335221216731902	0.0451706085664918	0.0451706085664918	RPHASCH2410_PD00440	WP_016735441.1
cds367	-0.144569817508631	8.31809651070151	5.88057453685219	0.0335249667640166	0.0451706085664918	0.0451706085664918	RPHASCH2410_PB00075	WP_012490599.1
cds1867	-0.278977499185628	3.95512641103919	5.8755689382446	0.0335865357128627	0.0452372807388431	0.0452372807388431	RPHASCH2410_PD03385	WP_016735961.1
cds1409	-0.147234185346503	9.04955914122642	5.85640304066228	0.0338235389383055	0.0455401101604596	0.0455401101604596	RPHASCH2410_PD01085	WP_016735555.1
cds2376	0.151964652501485	9.55570381363895	5.8484720168526	0.0339222019208523	0.0456565270729055	0.0456565270729055	RPHASCH2410_CH00475	WP_016734075.1
cds553	-0.138420847064132	5.64257232920188	5.8406799577711	0.0340194739220584	0.0457709888174926	0.0457709888174926	RPHASCH2410_PB01000	WP_012490412.1
cds1844	0.314203194266441	5.94882322787521	6.33677576242742	0.0342269533548737	0.0460335919537522	0.0460335919537522	RPHASCH2410_PD03265	WP_016735939.1
cds458	-0.137634586875305	6.76301965827464	5.82108693631308	0.0342655513446692	0.0460689506763998	0.0460689506763998	RPHASCH2410_PB00530	WP_029531990.1
cds551	-0.157366036403494	5.17026397603632	5.77884469521122	0.0348034248132264	0.04677530307932	0.04677530307932	RPHASCH2410_PB00990	WP_012490410.1
cds2335	-0.210823082702432	6.44332294007798	5.82025153404156	0.0351163734947959	0.0471699428537777	0.0471699428537777	RPHASCH2410_CH00260	WP_016734111.1
cds2713	0.162542007881778	6.04997339220583	5.7537409084834	0.035127893170579	0.0471699428537777	0.0471699428537777	RPHASCH2410_CH02210	WP_016732919.1
cds429	-0.126392712039967	9.59154192878533	5.75320455459837	0.035134865262178	0.0471699428537777	0.0471699428537777	RPHASCH2410_PB00385	WP_016736715.1
cds1216	0.235085501994112	3.84531976416377	5.74053981913607	0.0352999804224719	0.0473746241381543	0.0473746241381543	RPHASCH2410_PD00130	WP_016735384.1
cds2099	0.473161246958587	3.58663464475998	5.98567288716811	0.0353826263085514	0.047468519811078	0.047468519811078	RPHASCH2410_PD04535	WP_016736152.1
cds1804	0.155334215761407	5.33020064113976	5.70451385521027	0.0357748046275403	0.0479774610250388	0.0479774610250388	RPHASCH2410_PD03065	WP_016735906.1
cds768	-0.484294085047047	1.27630007261824	5.68096130589599	0.0360893926380232	0.0483820188553442	0.0483820188553442	RPHASCH2410_PC00120	WP_012489548.1
cds4496	-0.650366458208615	6.4663549417335	7.63334877645731	0.0365663726754576	0.0490039144018038	0.0490039144018038	RPHASCH2410_CH19800	WP_016733475.1
cds2193	0.496811808002231	1.7420630560438	5.64426895961376	0.0365861594265084	0.049012882868082	0.049012882868082	RPHASCH2410_PD04990	WP_016735289.1
