Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds4629	-1.90518270007365	10.0720623276504	713.90342295256	1.99132739884252e-11	3.00545905397886e-10	3.00545905397886e-10	RPHASCH2410_CH03880	WP_016737256.1
cds1864	-1.75908745722546	7.2245334557116	713.341240716403	1.99992909701045e-11	3.00631912052614e-10	3.00631912052614e-10	RPHASCH2410_PD03370	WP_016735959.1
cds4614	1.41136764480166	10.9593187904932	710.739839843384	2.04030741724497e-11	3.04539669978469e-10	3.04539669978469e-10	RPHASCH2410_CH03815	WP_029532212.1
cds2141	-1.38212968095756	7.28825010717375	710.324124721182	2.0468488503285e-11	3.04539669978469e-10	3.04539669978469e-10	RPHASCH2410_PD04740	WP_016735243.1
cds110	-1.6213120473543	6.16938548745068	710.103287509448	2.05033387214999e-11	3.04539669978469e-10	3.04539669978469e-10	RPHASCH2410_PA00560	WP_080956223.1
cds320	-1.3564561665793	6.66282257185941	708.870293776664	2.06992088484485e-11	3.06233749880406e-10	3.06233749880406e-10	RPHASCH2410_PA01595	WP_016736982.1
cds104	-1.23915860778041	8.8117388205821	708.33617888836	2.07847419292442e-11	3.06288539532131e-10	3.06288539532131e-10	RPHASCH2410_PA00530	WP_016736852.1
cds627	2.17809150199903	6.49871985912817	705.484558612046	2.12485215329537e-11	3.11894965089591e-10	3.11894965089591e-10	RPHASCH2410_PB01360	WP_004674851.1
cds2204	1.35866470198165	6.98509956320682	704.974437573226	2.13327685457927e-11	3.11908408855087e-10	3.11908408855087e-10	RPHASCH2410_PD05040	WP_016735300.1
cds2480	2.27554698505874	8.58734370349659	790.03511830122	2.27758743166215e-11	3.31712441895387e-10	3.31712441895387e-10	RPHASCH2410_CH01035	WP_003573826.1
cds2228	-1.27067663489008	7.63873044336734	696.074715470113	2.28679697774106e-11	3.31762832855999e-10	3.31762832855999e-10	RPHASCH2410_PD05160	WP_016735321.1
cds2380	-1.27292398993493	7.31489253379393	694.486514611149	2.3155460242794e-11	3.34636632003004e-10	3.34636632003004e-10	RPHASCH2410_CH00495	WP_016734072.1
cds2886	1.3234427359454	7.26155783284988	693.550259599008	2.33269360878529e-11	3.35818160680129e-10	3.35818160680129e-10	RPHASCH2410_CH03110	WP_016733030.1
cds1555	1.22251806322153	8.69629772659017	691.282314232276	2.37485622743425e-11	3.40578040585686e-10	3.40578040585686e-10	RPHASCH2410_PD01830	WP_016735681.1
cds2957	-2.01991262583096	6.38217175780937	689.681051958032	2.40516689704405e-11	3.43608385329614e-10	3.43608385329614e-10	RPHASCH2410_CH03480	WP_016733087.1
cds118	2.08985481515325	4.80756176626677	685.307419551357	2.49031193082387e-11	3.54419678976189e-10	3.54419678976189e-10	RPHASCH2410_PA00600	WP_029532041.1
cds1457	-2.41047225962277	7.35053993265244	774.563639075261	2.68013867721143e-11	3.79990873818272e-10	3.79990873818272e-10	RPHASCH2410_PD01340	WP_016735598.1
cds1761	-1.17472481934145	8.2101180808232	674.307046649327	2.72068392690968e-11	3.82876620295883e-10	3.82876620295883e-10	RPHASCH2410_PD02855	WP_016735866.1
cds652	-1.32950834236266	8.48962416180476	674.294957474188	2.72095060108749e-11	3.82876620295883e-10	3.82876620295883e-10	RPHASCH2410_PB01485	WP_016736580.1
cds4091	1.30460378289504	9.30866496772953	669.355356437867	2.83254182598242e-11	3.97086294181731e-10	3.97086294181731e-10	RPHASCH2410_CH17750	WP_012484665.1
cds853	-1.26189628822731	10.9639568701477	668.542353598039	2.85142198782072e-11	3.98241511209439e-10	3.98241511209439e-10	RPHASCH2410_PC00545	WP_004674399.1
