Geneid	Locus	ID	logFC
cds1258	RPHASCH2410_PD00345	WP_004674013.1	-2.75679338436724
cds2396	RPHASCH2410_CH00580	WP_029531516.1	-1.18933945284538
cds561	RPHASCH2410_PB01040	WP_016736505.1	-1.13986122800785
cds2956	RPHASCH2410_CH03475	WP_016733086.1	-1.06142268065167
cds341	RPHASCH2410_PA01700	WP_016736964.1	-1.14027107234019
cds4466		WP_029531352.1	-1.0523177374852
cds779	RPHASCH2410_PC00175	WP_012489551.1	-1.83980167928113
cds729	RPHASCH2410_PB01865	WP_046977162.1	-1.17424117812912
cds344	RPHASCH2410_PA01715	WP_037147590.1	-1.17362343113418
cds4749	RPHASCH2410_CH04490	WP_046977048.1	-1.11646422108662
cds4443		WP_016733431.1	-2.85492051825393
cds4357	RPHASCH2410_CH19090	WP_012484216.1	-1.02835898364619
cds4810		WP_004671763.1	-2.52142226373035
cds4522	RPHASCH2410_CH19935	WP_012484374.1	-1.16250460607725
cds706	RPHASCH2410_PB01750	WP_016736629.1	-1.21955586018743
cds2006	RPHASCH2410_PD04065	WP_016736072.1	-1.49926689406049
cds3703	RPHASCH2410_CH15745	WP_016733888.1	-2.13925463821151
cds1536	RPHASCH2410_PD01735	WP_016735665.1	-2.21552271404312
cds2902	RPHASCH2410_CH03190	WP_029531193.1	-1.02954957362046
cds1175	RPHASCH2410_PC02085	WP_012489526.1	-1.03247781985293
cds847		WP_004674416.1	-1.24920021218595
cds1539	RPHASCH2410_PD01750	WP_016735667.1	-1.66501673212955
cds2007	RPHASCH2410_PD04070	WP_029531823.1	-1.39657573794278
cds3281	RPHASCH2410_CH13645	WP_009999226.1	-1.05767871377823
cds2838	RPHASCH2410_CH02865	WP_016732993.1	-1.60979204458981
cds1735	RPHASCH2410_PD02725	WP_016735846.1	-1.10434119822636
cds4657	RPHASCH2410_CH04025	WP_004668319.1	-1.21329373055699
cds528	RPHASCH2410_PB00875	WP_016736792.1	-1.07584381511809
cds780	RPHASCH2410_PC00180	WP_012489552.1	-1.64723193047055
cds2226	RPHASCH2410_PD05150	WP_016735319.1	-1.12832326928967
cds1333	RPHASCH2410_PD00710	WP_016735491.1	-1.44416717890863
cds2382	RPHASCH2410_CH00505	WP_012483394.1	-1.18310512555269
cds2409	RPHASCH2410_CH00650	WP_016734051.1	-1.10019889207589
cds1427	RPHASCH2410_PD01180	WP_010025240.1	-1.2931415989451
cds5937	RPHASCH2410_CH09035	WP_016734951.1	-1.1547559712325
cds721	RPHASCH2410_PB01825	WP_012490565.1	-1.61314706124729
cds1132	RPHASCH2410_PC01880	WP_016737465.1	-1.13899595330539
cds2256	RPHASCH2410_PD05295	WP_010002439.1	-1.10059472363326
cds558	RPHASCH2410_PB01025	WP_016736503.1	-2.18895203175437
cds1054		WP_004668636.1	-1.14354931803303
cds3745	RPHASCH2410_CH15955	WP_016733923.1	-1.195937799055
cds591	RPHASCH2410_PB01190	WP_029531927.1	-1.17655590987535
cds3706	RPHASCH2410_CH15760	WP_004677120.1	-1.1491078281842
cds1248	RPHASCH2410_PD00295	WP_016735417.1	-1.16964670795016
cds844	RPHASCH2410_PC00505	WP_011053471.1	-1.19785121342802
cds2898	RPHASCH2410_CH03170	WP_004671872.1	-1.05172551610025
cds1227	RPHASCH2410_PD00190	WP_016735395.1	-1.49605811752409
cds1540	RPHASCH2410_PD01755	WP_016735668.1	-1.5273847261455
cds2224	RPHASCH2410_PD05140	WP_016735317.1	-1.10710854996213
cds4888		gbkey=CDS	-1.16432845997074
cds1836	RPHASCH2410_PD03225	WP_016735932.1	-1.85478269175272
cds1237	RPHASCH2410_PD00240	WP_016735405.1	-1.08574685370955
cds340	RPHASCH2410_PA01695	WP_016736965.1	-1.27467677770534
cds1533	RPHASCH2410_PD01725	WP_016735662.1	-1.42167256390196
cds4320	RPHASCH2410_CH18905	WP_004677232.1	-1.14794248327242
cds933		WP_016737373.1	-1.51515863097968
cds365	RPHASCH2410_PB00065	WP_004678062.1	-1.12854537219169
cds1962	RPHASCH2410_PD03845	WP_016736040.1	-1.14122825820445
cds841		end_range=90931,.	-1.4839851426732
cds4910	RPHASCH2410_CH05320	WP_012485449.1	-1.40347625187221
cds2238	RPHASCH2410_PD05210	WP_009997671.1	-1.40592431681804
cds4593	RPHASCH2410_CH03700	WP_029532203.1	-1.01044489401755
cds5848	RPHASCH2410_CH08585	WP_029531664.1	-1.0490077415149
cds4448	RPHASCH2410_CH19565	WP_080956172.1	-1.24128004603666
cds375	RPHASCH2410_PB00115	WP_012490607.1	-1.207069827886
cds4441	RPHASCH2410_CH19535	WP_016733428.1	-1.20017784337632
cds4744		gbkey=CDS	-1.0577542552094
